SQLDATE,DATEADDED,MonthYear,Year,Actor1Name,Actor1CountryCode,Actor1Type1Code,Actor2Name,Actor2CountryCode,Actor2Type1Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,AvgTone,NumMentions,NumSources,NumArticles,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_Lat,ActionGeo_Long,SOURCEURL,event_date,event_month,event_quarter,event_root_label,tone_category,stability_category,propagation_delay_days,source_domain,is_crisis_period,benin_role,actor1_type_label,actor2_type_label,quad_class_label
2025-12-08,2025-12-08,202512,2025,BENIN,BEN,,,,,1,040,040,04,1,1.0,-2.8169014084507,1,1,1,Benin,BN,9.5,2.25,https://timesofindia.indiatimes.com/world/rest-of-world/benin-govt-says-its-armed-forces-have-foiled-coup-attempt/articleshow/125828672.cms,2025-12-08,12,2025Q4,Consultation,Négatif,Neutre,0,timesofindia.indiatimes.com,False,Acteur,Non identifié,Non identifié,Coopération verbale
2025-12-08,2025-12-08,202512,2025,BENIN,BEN,,,,,1,042,042,04,1,1.9,-3.36879432624113,10,1,10,Benin,BN,9.5,2.25,https://lequotidien.lu/monde/tentative-de-coup-detat-au-benin-ce-que-lon-sait/,2025-12-08,12,2025Q4,Consultation,Négatif,Neutre,0,lequotidien.lu,False,Acteur,Non identifié,Non identifié,Coopération verbale
2025-12-08,2025-12-08,202512,2025,ARMY,,MIL,,,,1,070,070,07,2,7.0,-1.13895216400911,10,1,10,Benin,BN,9.5,2.25,https://www.abc.com.py/internacionales/2025/12/08/nigeria-envio-tropas-y-aviones-de-combate-a-benin-para-frustar-el-golpe-de-estado/,2025-12-08,12,2025Q4,Aide matérielle,Neutre,Stabilisant,0,abc.com.py,False,Contexte,Militaire,Non identifié,Coopération matérielle
2025-12-08,2025-12-08,202512,2025,INTERNATIONAL COMMUNITY,,INT,,,,1,030,030,03,1,4.0,-0.59880239520959,10,1,10,Benin,BN,9.5,2.25,https://www.africatopsuccess.com/benin-qui-est-le-lieutenant-colonel-pascal-tigri/,2025-12-08,12,2025Q4,Expression d'intention,Neutre,Stabilisant,0,africatopsuccess.com,False,Contexte,Non identifié,Non identifié,Coopération verbale
2025-12-08,2025-12-08,202512,2025,FRANCE,FRA,,,,,1,020,020,02,1,3.0,-1.71149144254278,2,1,2,Benin,BN,9.5,2.25,https://allafrica.com/stories/202512080365.html,2025-12-08,12,2025Q4,Appel / Demande,Neutre,Neutre,0,allafrica.com,False,Contexte,Non identifié,Non identifié,Coopération verbale
2025-12-08,2025-12-08,202512,2025,TELEVISION,,MED,,,,0,180,180,18,4,-9.0,-1.57384987893462,5,1,5,Benin,BN,9.5,2.25,https://www.channelstv.com/2025/12/08/ecowas-deploys-standby-force-to-benin-after-foiled-coup-attempt/,2025-12-08,12,2025Q4,Attentat / Explosion,Neutre,Déstabilisant,0,channelstv.com,True,Contexte,Médias,Non identifié,Conflit matériel
2025-12-08,2025-12-08,202512,2025,CRIMINAL,,CRM,,,,0,090,090,09,2,-2.0,-7.69230769230769,6,1,6,Benin,BN,9.5,2.25,https://dailypost.ng/2025/12/08/police-arrest-suspected-criminals-posing-with-assorted-rifles-in-edo/,2025-12-08,12,2025Q4,Sanctions économiques,Négatif,Neutre,0,dailypost.ng,True,Contexte,Criminalité,Non identifié,Coopération matérielle
2025-12-08,2025-12-08,202512,2025,WEBSITE,,MED,,,,1,195,195,19,4,-10.0,-1.12359550561798,10,1,10,Benin,BN,9.5,2.25,https://ujszo.com/kulfold/benini-elnok-sikerult-meghiusitani-a-puccsot-a-kormany-ura-a-helyzetnek,2025-12-08,12,2025Q4,Violence de masse,Neutre,Déstabilisant,0,ujszo.com,True,Contexte,Médias,Non identifié,Conflit matériel
2025-12-08,2025-12-08,202512,2025,POLITICAL PARTY,,,,,,1,172,172,17,4,-5.0,-1.12359550561798,10,1,10,Benin,BN,9.5,2.25,https://ujszo.com/kulfold/benini-elnok-sikerult-meghiusitani-a-puccsot-a-kormany-ura-a-helyzetnek,2025-12-08,12,2025Q4,Assaut,Neutre,Déstabilisant,0,ujszo.com,False,Contexte,Non identifié,Non identifié,Conflit matériel
2025-12-08,2025-12-08,202512,2025,FRANCE,FRA,,,,,0,130,130,13,3,-4.4,-3.1055900621118,3,1,3,Benin,BN,9.5,2.25,https://chimpreports.com/benin-coup-leader-calls-for-support-warns-france-against-intervention/,2025-12-08,12,2025Q4,Menace,Négatif,Déstabilisant,0,chimpreports.com,False,Contexte,Non identifié,Non identifié,Conflit verbal
2025-12-08,2025-12-08,202512,2025,BENIN,BEN,,,,,1,022,022,02,1,3.2,-0.8,10,1,10,Benin,BN,9.5,2.25,http://spanish.xinhuanet.com/20251208/20e08a4319f847879ca350c84c0dafb7/c.html,2025-12-08,12,2025Q4,Appel / Demande,Neutre,Stabilisant,0,spanish.xinhuanet.com,False,Acteur,Non identifié,Non identifié,Coopération verbale
2025-12-08,2025-12-08,202512,2025,COMPANY,,BUS,,,,1,111,111,11,3,-2.0,-2.12201591511937,10,1,10,Benin,BN,9.5,2.25,https://www.telesurtv.net/benin-presidente-pais-calma-intento-golpe/,2025-12-08,12,2025Q4,Désapprobation,Négatif,Neutre,0,telesurtv.net,False,Contexte,Entreprise,Non identifié,Conflit verbal
